fixed points found: 422
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.678145} | theta=['2', '-8.218e-29', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.512233} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.672876} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.83561} | theta=['2', '1.28e-28', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.164846} | theta=['2', '8.041e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.329536} | theta=['2', '5.102e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.494507} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.539459} | theta=['2', '2.216e-24', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.68357} | theta=['2', '7.342e-25', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.8286} | theta=['2', '3.604e-25', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.17088} | theta=['2', '3.547e-25', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.317669} | theta=['2', '6.106e-25', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.465642} | theta=['2', '1.267e-24', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.515603} | theta=['2', '9.026e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.6574} | theta=['2', '9.668e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.799483} | theta=['2', '9.927e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.199921} | theta=['2', '9.393e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.342074} | theta=['2', '8.712e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.484598} | theta=['2', '7.75e-29', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.462339} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.608903} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.75559} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.243904} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.390299} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.536784} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.388806} | theta=['2', '9.449e-31', '-2'] | relevant=2 | gaussian=False
